CHIVAS 18 (1/2Bottle),80000.00,2,2
RED LABEL (1/2Bottle),25000.00,2,2
J&B (1/2Bottle),30000.00,2,2
JACK DANIEL (1/2Bottle),60000.00,2,2
GLEN FIDDICH 12 (1/2Bottle),80000.00,2,2
GORDON GIN (1/2Bottle),20000.00,2,2
GILBEY’S GIN. (1/2Bottle),15000.00,2,2
TEQUILA. (1/2Bottle),20000.00,2,2
BEEFFEATER (1/2Bottle),20000.00,2,2
ABSOLUT (1/2Bottle),30000.00,2,2
BACARDI (1/2Bottle),30000.00,2,2
JAMESON (1/2Bottle),30000.00,2,2
JARGER MASTER (1/2Bottle),60000.00,2,2
MEAT BALL.,800.00,1,1
VEGETABLE / BEEF SAMOSA.,800.00,1,1
CHAPATI.,500.00,1,1
CHICKEN WINGS.,4000.00,1,1
FISH FINGERS ,6000.00,1,1
BEEF OR CHICKEN WRAP.,4000.00,1,1
SAMBAZA FRIED.,5000.00,1,1
FISH FINGER ,7000.00,1,1
CHEF SALAD.,5000.00,1,1
AVOCADO SALAD.,3000.00,1,1
FISH SALAD,5000.00,1,1
CHICKEN SALAD,5000.00,1,1
MIXED SALAD.,4000.00,1,1
KACUMBALI.,4000.00,1,1
MUSHROOM SOUP.,4000.00,1,1
VEGETABLE SOUP.,3000.00,1,1
CHICKEN ON TOAST.,5000.00,1,1
MUSHROOM ON TOAST,4000.00,1,1
BEEF STEAK,10000.00,1,1
BOILED BEEF or CHICKEN or GOAT or FISH,7000.00,1,1
STEW OF BEEF or CHICKEN or GOAT.,7500.00,1,1
FRIED BEEF or CHICKEN or GOAT or LIVER.,9000.00,1,1
SWEET & SOUR PORK CHOP,8500.00,1,1
CHICKEN LEG.,8000.00,1,1
CURRY (Beef or Chicken),8000.00,1,1
STROGANOFF (CHICKEN or BEEF),8500.00,1,1
GRILLED CAPTAIN FISH FILLET,8000.00,1,1
FISH RIBOKET.,8500.00,1,1
ISAMBAZA STEW.,8000.00,1,1
IGISAFURIYA (LOCAL CHECKEN),25000.00,1,1
IGISAFURIYA (NYAMA COMA),22000.00,1,1
,,1,1
BEEF BROCHETTE.,4000.00,1,1
GOAT BROCHETTE.,3000.00,1,1
RAGOUT ,9000.00,1,1
PORK CHOPS.,7000.00,1,1
MBUZI CHOMA.,18000.00,1,1
GOAT RIBS (IKIDALI).,10000.00,1,1
ZINGALO.,3500.00,1,1
LIVER.,3000.00,1,1
URURIMI.,3000.00,1,1
UMUTIMA.,3000.00,1,1
KIDNEY (IMPYIKO),3000.00,1,1
FISH BROCHETTE.,3500.00,1,1
GRILLED WHOLE FISH ,17000.00,1,1
GRILLED WHOLE LOCAL CHICKEN,17000.00,1,1
GRILLED 1/2 LOCAL CHICKEN,9000.00,1,1
GRILLED WHOLE EXOTIC CHICKEN,25000.00,1,1
CHICKEN BROCHETTE.,3500.00,1,1
VEGETABLE CURRY,4500.00,1,1
BEANS STEW,3000.00,1,1
LENTIL CURRY,3000.00,1,1
GROUND NUT SAUCE,3000.00,1,1
SIDE ORDER,3000.00,1,1
FRUITS SALAD.,3000.00,1,1
RWANDA TROPICAL FRUIT PLATTER,5000.00,1,1
YELLOW BANANA,1000.00,1,1
BUFFET WITH ONE TYPE OF MEAT,8000.00,1,1
BUFFET WITH TWO TYPE OF MEAT,10000.00,1,1
BUFFET FISH,13000.00,1,1
FULL BUFFET,15000.00,1,1
